"전국","전문대학납입금",101.40,101.40,101.40,101.40,101.40,101.40
"전국","사립대학교납입금",99.27,99.27,99.27,99.27,99.27,99.27
"전국","초등학생학원비",106.18,106.32,106.37,106.39,107.06,107.15
"전국","중학생학원비",106.46,106.53,106.52,106.56,107.39,107.34
"전국","고등학생학원비",105.46,105.53,105.62,105.72,106.08,106.30
"전국","가정학습지",106.02,106.02,106.02,106.02,106.02,106.02
"전국","목욕료",125.76,125.87,126.61,127.13,128.57,129.21
"전국","이발료",112.24,112.35,112.40,112.67,113.53,113.64
"전국","미용료",112.35,112.49,112.54,112.41,113.10,113.24
"전국","치약",106.84,105.21,105.43,104.74,106.21,103.47
"전국","샴푸",125.37,127.46,124.31,128.25,130.97,127.93
"전국","화장지",119.72,121.67,120.26,120.89,122.07,123.04
"전국","기초화장품",104.24,102.99,101.97,102.16,103.03,102.23
"전국","보험서비스료",142.10,142.10,142.10,142.10,159.97,159.97
"전국","자동차보험료",97.06,97.06,97.06,97.06,97.06,94.54
"전국","전월세",103.65,103.66,103.74,103.74,103.74,103.77
"전국","생활물가 이외",111.29,111.87,111.51,112.17,112.32,112.91
"전국","전·월세포함 생활물가지수",113.75,114.08,113.34,113.03,113.64,114.27
